"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 13:02:34 MSK 2025","Thu Sep 04 13:02:42 MSK 2025","7562","","praktikum.LoginTest","","praktikum.LoginTest","testLoginFromPersonalAccountButton","Вход через кнопку 'Личный кабинет'",""
"passed","Thu Sep 04 13:01:59 MSK 2025","Thu Sep 04 13:02:05 MSK 2025","6079","","praktikum.ConstructorTest","","praktikum.ConstructorTest","testNavigateToFillingsSection","Переход к разделу 'Начинки'","Проверка функциональности перехода к разделу 'Начинки' в конструкторе бургеров"
"passed","Thu Sep 04 13:02:42 MSK 2025","Thu Sep 04 13:02:45 MSK 2025","2651","","praktikum.RegistrationTest","","praktikum.RegistrationTest","testInvalidPasswordError","Ошибка для некорректного пароля",""
"passed","Thu Sep 04 13:02:08 MSK 2025","Thu Sep 04 13:02:11 MSK 2025","3103","","praktikum.ConstructorTest","","praktikum.ConstructorTest","testNavigateToBunsSection","Переход к разделу 'Булки'","Проверка функциональности перехода к разделу 'Булки' в конструкторе бургеров"
"passed","Thu Sep 04 13:02:19 MSK 2025","Thu Sep 04 13:02:27 MSK 2025","7780","","praktikum.LoginTest","","praktikum.LoginTest","testLoginFromRegistrationForm","Вход через кнопку в форме регистрации",""
"passed","Thu Sep 04 13:02:45 MSK 2025","Thu Sep 04 13:02:47 MSK 2025","2880","","praktikum.RegistrationTest","","praktikum.RegistrationTest","testSuccessfulRegistration","Успешная регистрация",""
"passed","Thu Sep 04 13:02:27 MSK 2025","Thu Sep 04 13:02:34 MSK 2025","7604","","praktikum.LoginTest","","praktikum.LoginTest","testLoginFromMainPage","Вход через кнопку 'Войти в аккаунт' на главной",""
"passed","Thu Sep 04 13:02:05 MSK 2025","Thu Sep 04 13:02:08 MSK 2025","2478","","praktikum.ConstructorTest","","praktikum.ConstructorTest","testNavigateToSaucesSection","Переход к разделу 'Соусы'","Проверка функциональности перехода к разделу 'Соусы' в конструкторе бургеров"
"passed","Thu Sep 04 13:02:11 MSK 2025","Thu Sep 04 13:02:19 MSK 2025","7872","","praktikum.LoginTest","","praktikum.LoginTest","testLoginFromForgotPasswordForm","Вход через кнопку в форме восстановления пароля",""
